pool,dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
Dense,MuSiQue,DAEC-selective - Top-5,R5_TITLE,0.7273333333333333,0.6860833333333333,1000,0.04125,0.031083333333333334,0.05158333333333333,1.0,True
Dense,MuSiQue,DAEC - Top-5,EM,0.304,0.298,1000,0.006,-0.016,0.028,0.6887,False
Dense,MuSiQue,DAEC - Top-5,F1,0.3917697,0.3895872000000001,1000,0.002182499999999999,-0.019383235,0.023726992500000002,0.58,False
Dense,MuSiQue,DAEC - Top-5,R5_TITLE,0.71875,0.6860833333333333,1000,0.03266666666666667,0.0205,0.044583333333333336,1.0,True
Dense,MuSiQue,DAEC-selective - DAEC,EM,0.308,0.304,1000,0.004,-0.007,0.015,0.7308,False
Dense,MuSiQue,DAEC-selective - DAEC,F1,0.4001588,0.3917697,1000,0.0083891,-0.0031493000000000003,0.019986462499999993,0.9217,False
Dense,MuSiQue,DAEC-selective - DAEC,R5_TITLE,0.7273333333333333,0.71875,1000,0.008583333333333332,0.0018333333333333335,0.015416666666666667,0.9947,True
HippoRAG,2Wiki,DAEC-selective - Top-5,EM,0.572,0.524,1000,0.048,0.023,0.073,0.9997,True
HippoRAG,2Wiki,DAEC-selective - Top-5,F1,0.6431403,0.5850156999999999,1000,0.058124600000000005,0.0328688825,0.08343505749999998,1.0,True
HippoRAG,2Wiki,DAEC-selective - Top-5,R5_TITLE,0.9015,0.832,1000,0.0695,0.05625,0.0825,1.0,True
HippoRAG,2Wiki,DAEC - Top-5,EM,0.572,0.524,1000,0.048,0.022,0.073,1.0,True
HippoRAG,2Wiki,DAEC - Top-5,F1,0.6431403,0.5850156999999999,1000,0.058124600000000005,0.033108420000000006,0.08308953000000001,1.0,True
HippoRAG,2Wiki,DAEC - Top-5,R5_TITLE,0.9015,0.832,1000,0.0695,0.056,0.0825,1.0,True
HippoRAG,2Wiki,DAEC-selective - DAEC,EM,0.572,0.572,1000,0.0,0.0,0.0,0.0,False
HippoRAG,2Wiki,DAEC-selective - DAEC,F1,0.6431403,0.6431403,1000,0.0,0.0,0.0,0.0,False
