pool,dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-faithful,R5_TITLE,0.964516129032258,0.9064516129032258,465,0.05806451612903226,0.03870967741935484,0.07741935483870968,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-style k20,EM,0.43870967741935485,0.40860215053763443,465,0.030107526881720432,-0.004301075268817204,0.06451612903225806,0.9551,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-style k20,F1,0.5705526881720431,0.5431427652395393,465,0.027409922932503578,-0.0022185934131579263,0.05791519025299667,0.9654,False
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - SetR-style k20,R5_TITLE,0.964516129032258,0.9483870967741935,465,0.016129032258064516,0.001075268817204301,0.03118279569892473,0.9799,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - RankGPT-style sliding,EM,0.43870967741935485,0.38064516129032255,465,0.05806451612903226,0.023655913978494623,0.09247311827956989,0.9991,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - RankGPT-style sliding,F1,0.5705526881720431,0.4989645778355456,465,0.07158811033649742,0.03908845339188887,0.10490298685782556,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.964516129032258,0.8924731182795699,465,0.07204301075268817,0.05158602150537637,0.0935483870967742,1.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-nobinding - SetR-faithful,EM,0.3032258064516129,0.4150537634408602,465,-0.11182795698924732,-0.14838709677419354,-0.07526881720430108,0.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-nobinding - SetR-faithful,F1,0.4225169892473118,0.546940341617761,465,-0.12442335237044914,-0.16026414499717725,-0.08897219021360958,0.0,True
PropRAG,2Wiki,support_depth=2|gate=bind,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8387096774193549,0.9064516129032258,465,-0.06774193548387097,-0.0913978494623656,-0.04408602150537634,0.0,True
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC-nobinding,EM,0.7433333333333333,0.7433333333333333,300,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC-nobinding,F1,0.771733,0.771733,300,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9133333333333333,0.9133333333333333,300,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC,EM,0.7433333333333333,0.7433333333333333,300,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC,F1,0.771733,0.771733,300,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - DBEC,R5_TITLE,0.9133333333333333,0.9133333333333333,300,0.0,0.0,0.0,0.0,False
