pool,dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,HotpotQA,DAEC-selective - SetR-style k20,F1,0.7473044,0.7551750575705685,1000,-0.007870657570568408,-0.022554059419048443,0.006700661602302055,0.1355,False
PropRAG,HotpotQA,DAEC-selective - SetR-style k20,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.0062,True
PropRAG,HotpotQA,DAEC - SetR-style k20,EM,0.62,0.629,1000,-0.009,-0.025,0.007,0.123,False
PropRAG,HotpotQA,DAEC - SetR-style k20,F1,0.7473044,0.7551750575705685,1000,-0.007870657570568408,-0.02236464518396808,0.006463243537017673,0.1395,False
PropRAG,HotpotQA,DAEC - SetR-style k20,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.0068,True
PropRAG,HotpotQA,SetR-style k20 - Top-5,EM,0.629,0.595,1000,0.034,0.02,0.049,1.0,True
PropRAG,HotpotQA,SetR-style k20 - Top-5,F1,0.7551750575705685,0.7227198,1000,0.032455257570568406,0.019507330245656474,0.046104206641921885,1.0,True
PropRAG,HotpotQA,SetR-style k20 - Top-5,R5_TITLE,0.9735,0.952,1000,0.0215,0.013,0.03,1.0,True
PropRAG,HotpotQA,DAEC-selective - Top-5,EM,0.62,0.595,1000,0.025,0.011,0.039,0.9994,True
PropRAG,HotpotQA,DAEC-selective - Top-5,F1,0.7473044,0.7227198,1000,0.024584599999999998,0.010948740000000002,0.038599007499999984,0.9999,True
PropRAG,HotpotQA,DAEC-selective - Top-5,R5_TITLE,0.9625,0.952,1000,0.0105,0.004,0.0175,0.9993,True
PropRAG,MuSiQue,DAEC-selective - SetR-style k20,EM,0.353,0.377,1000,-0.024,-0.046,-0.001,0.016,True
PropRAG,MuSiQue,DAEC-selective - SetR-style k20,F1,0.45480810000000005,0.4760560863543062,1000,-0.02124798635430617,-0.044226005652459,0.001471133149447721,0.0352,False
PropRAG,MuSiQue,DAEC-selective - SetR-style k20,R5_TITLE,0.7745,0.7836666666666666,1000,-0.009166666666666667,-0.02291666666666667,0.004750000000000002,0.0968,False
PropRAG,MuSiQue,DAEC - SetR-style k20,EM,0.337,0.377,1000,-0.04,-0.064,-0.017,0.0003,True
PropRAG,MuSiQue,DAEC - SetR-style k20,F1,0.4358931,0.4760560863543062,1000,-0.04016298635430617,-0.06275587517635013,-0.017530630808720866,0.0001,True
PropRAG,MuSiQue,DAEC - SetR-style k20,R5_TITLE,0.7611666666666668,0.7836666666666666,1000,-0.0225,-0.037335416666666676,-0.007416666666666666,0.001,True
PropRAG,MuSiQue,SetR-style k20 - Top-5,EM,0.377,0.33,1000,0.047,0.025,0.069,1.0,True
PropRAG,MuSiQue,SetR-style k20 - Top-5,F1,0.4760560863543062,0.42663599999999996,1000,0.04942008635430616,0.027623567212709886,0.07156669474331569,1.0,True
PropRAG,MuSiQue,SetR-style k20 - Top-5,R5_TITLE,0.7836666666666666,0.73775,1000,0.04591666666666667,0.03333333333333333,0.058666666666666666,1.0,True
PropRAG,MuSiQue,DAEC-selective - Top-5,EM,0.353,0.33,1000,0.023,0.002,0.044,0.9814,True
PropRAG,MuSiQue,DAEC-selective - Top-5,F1,0.45480810000000005,0.42663599999999996,1000,0.02817210000000001,0.007436227499999998,0.04874591249999999,0.9967,True
PropRAG,MuSiQue,DAEC-selective - Top-5,R5_TITLE,0.7745,0.73775,1000,0.03675,0.02524791666666667,0.04841666666666667,1.0,True
