dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-style k20,R5_TITLE,0.9625,0.9735,-0.011,-0.02,-0.002,0.0065,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - Top5,EM,0.62,0.595,0.025,0.011,0.04,0.9997,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - Top5,F1,0.7473044,0.7227198,0.024584599999999998,0.011330525,0.03842715499999999,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - Top5,R5_TITLE,0.9625,0.952,0.0105,0.004,0.0175,0.9982,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - IRCoT-style local,EM,0.62,0.59,0.03,0.01,0.05,0.9973,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - IRCoT-style local,F1,0.7473044,0.7078637660842769,0.03944063391572308,0.020730977891192055,0.058391224739392865,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.9625,0.92,0.0425,0.0295,0.0555,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct title,EM,0.62,0.537,0.083,0.06,0.107,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct title,F1,0.7473044,0.6477992444947553,0.09950515550524466,0.07731626723374492,0.12234422084950997,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct title,R5_TITLE,0.9625,0.828,0.1345,0.118,0.151,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,EM,0.62,0.545,0.075,0.052,0.099,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,F1,0.7473044,0.6544034291989401,0.09290097080105997,0.07034847741212864,0.11511574606563284,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9625,0.8145,0.148,0.1299875,0.1665,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-style k20,EM,0.62,0.629,-0.009,-0.025,0.007,0.1238,False
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-style k20,F1,0.7473044,0.7551750575705685,-0.007870657570568408,-0.022252931606223155,0.006223538605818843,0.1411,False
