dataset,variant,n,rank_quota,max_repairs,min_gain,branch_policy,final_support_recall,final_support_complete,rank_support_recall,rank_support_complete,dbec_support_recall,dbec_support_complete,delta_support_recall_vs_rank,delta_support_complete_vs_rank,delta_support_recall_vs_dbec,delta_support_complete_vs_dbec,accepted_repair_count,rank_fill_count,added_gold_count,removed_gold_count,net_gold_delta_vs_rank,harmful_replacement_rate,branch_conflict_reject_count,branch_unknown_count
HotpotQA,rq1_mr1_g005_branchoff,32,1,1,0.05,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,1.28125
HotpotQA,rq1_mr1_g005_branchstrict,32,1,1,0.05,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,0.125
HotpotQA,rq1_mr1_g010_branchoff,32,1,1,0.1,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.75,3.25,0.0625,0.0,0.0625,0.0,0.0,1.28125
HotpotQA,rq1_mr1_g010_branchstrict,32,1,1,0.1,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.75,3.25,0.0625,0.0,0.0625,0.0,0.0,0.125
HotpotQA,rq1_mr2_g000_branchoff,32,1,2,0.0,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.96875,3.03125,0.0625,0.0,0.0625,0.0,0.0,1.6875
HotpotQA,rq1_mr2_g000_branchstrict,32,1,2,0.0,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.9375,3.0625,0.0625,0.0,0.0625,0.0,0.0,0.25
HotpotQA,rq1_mr2_g003_branchoff,32,1,2,0.03,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.9375,3.0625,0.0625,0.0,0.0625,0.0,0.0,1.6875
HotpotQA,rq1_mr2_g003_branchstrict,32,1,2,0.03,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.875,3.125,0.0625,0.0,0.0625,0.0,0.0,0.25
HotpotQA,rq1_mr2_g005_branchoff,32,1,2,0.05,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.90625,3.09375,0.0625,0.0,0.0625,0.0,0.0,1.6875
HotpotQA,rq1_mr2_g005_branchstrict,32,1,2,0.05,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.875,3.125,0.0625,0.0,0.0625,0.0,0.0,0.25
HotpotQA,rq1_mr2_g010_branchoff,32,1,2,0.1,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.84375,3.15625,0.0625,0.0,0.0625,0.0,0.0,1.6875
HotpotQA,rq1_mr2_g010_branchstrict,32,1,2,0.1,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.84375,3.15625,0.0625,0.0,0.0625,0.0,0.0,0.25
HotpotQA,rq1_mr3_g000_branchoff,32,1,3,0.0,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,1.0,3.0,0.0625,0.0,0.0625,0.0,0.0,1.71875
HotpotQA,rq1_mr3_g000_branchstrict,32,1,3,0.0,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.9375,3.0625,0.0625,0.0,0.0625,0.0,0.0,0.28125
HotpotQA,rq1_mr3_g003_branchoff,32,1,3,0.03,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.96875,3.03125,0.0625,0.0,0.0625,0.0,0.0,1.71875
HotpotQA,rq1_mr3_g003_branchstrict,32,1,3,0.03,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.875,3.125,0.0625,0.0,0.0625,0.0,0.0,0.28125
HotpotQA,rq1_mr3_g005_branchoff,32,1,3,0.05,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.90625,3.09375,0.0625,0.0,0.0625,0.0,0.0,1.71875
HotpotQA,rq1_mr3_g005_branchstrict,32,1,3,0.05,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.875,3.125,0.0625,0.0,0.0625,0.0,0.0,0.28125
HotpotQA,rq1_mr3_g010_branchoff,32,1,3,0.1,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.84375,3.15625,0.0625,0.0,0.0625,0.0,0.0,1.71875
HotpotQA,rq1_mr3_g010_branchstrict,32,1,3,0.1,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.84375,3.15625,0.0625,0.0,0.0625,0.0,0.0,0.28125
HotpotQA,rq2_mr1_g000_branchoff,32,2,1,0.0,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,1.28125
HotpotQA,rq2_mr1_g000_branchstrict,32,2,1,0.0,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,0.125
HotpotQA,rq2_mr1_g003_branchoff,32,2,1,0.03,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,1.28125
HotpotQA,rq2_mr1_g003_branchstrict,32,2,1,0.03,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,0.125
HotpotQA,rq2_mr1_g005_branchoff,32,2,1,0.05,off,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,1.28125
HotpotQA,rq2_mr1_g005_branchstrict,32,2,1,0.05,strict,0.921875,0.84375,0.890625,0.78125,0.90625,0.8125,0.03125,0.0625,0.015625,0.03125,0.78125,3.21875,0.0625,0.0,0.0625,0.0,0.0,0.125
