dataset,feature,n_strong,n_abstain_helpful,n_bind_helpful,auc_abstain,auc_abs_distance,direction,abstain_mean,bind_mean,mean_diff_abstain_minus_bind
MuSiQue,bind_conf_composite_primary,130,69,61,0.3766928011404134,0.12330719885958658,high=>bind,0.6421325807390014,0.7343192387168822,-0.09218665797788084
MuSiQue,bind_conf_composite_with_margin_diagnostic,130,69,61,0.3837015918270373,0.11629840817296272,high=>bind,0.6316563206298484,0.7293345975308828,-0.09767827690103437
MuSiQue,raw_entity_count,130,69,61,0.6025184129246852,0.10251841292468522,high=>abstain,15.63768115942029,10.311475409836065,5.326205749584224
MuSiQue,candidate_count_mean,130,69,61,0.5945592777381801,0.09455927773818007,high=>abstain,1.6666666666666667,1.3469945355191257,0.319672131147541
MuSiQue,bind_conf_candidate_simplicity,130,69,61,0.41043003088619623,0.08956996911380377,high=>bind,0.6945364619277663,0.8086455893832943,-0.11410912745552804
MuSiQue,low_ambiguity,130,69,61,0.41043003088619623,0.08956996911380377,high=>bind,0.6945364619277663,0.8086455893832943,-0.11410912745552804
MuSiQue,unmatched_entity_count,130,69,61,0.5870753148016156,0.08707531480161557,high=>abstain,11.159420289855072,7.508196721311475,3.651223568543597
MuSiQue,candidate_count_max,130,69,61,0.5849370396768828,0.08493703967688282,high=>abstain,2.130434782608696,1.6721311475409837,0.4583036350677121
MuSiQue,match_rate,130,69,61,0.4206462342599192,0.0793537657400808,high=>bind,0.3474967435290333,0.45640271875235033,-0.10890597522331702
MuSiQue,binding_count,130,69,61,0.5770966975528629,0.07709669755286286,high=>abstain,3.217391304347826,2.377049180327869,0.8403421240199571
MuSiQue,binding_count_unpruned,130,69,61,0.5770966975528629,0.07709669755286286,high=>abstain,3.217391304347826,2.377049180327869,0.8403421240199571
MuSiQue,bind_conf_margin_diagnostic,130,69,61,0.4243288191969589,0.07567118080304108,high=>bind,0.5897512801932367,0.7093960327868852,-0.11964475259364848
MuSiQue,dep_margin_mean_diagnostic,130,69,61,0.4243288191969589,0.07567118080304108,high=>bind,0.5897512801932367,0.7093960327868852,-0.11964475259364848
MuSiQue,exactish_match_rate,130,69,61,0.4287241625089095,0.07127583749109051,high=>bind,0.6322024593763724,0.7135245901639344,-0.08132213078756201
MuSiQue,matched_entity_count,130,69,61,0.5702066999287242,0.07020669992872419,high=>abstain,2.8260869565217392,2.19672131147541,0.6293656450463292
MuSiQue,candidate_count_total,130,69,61,0.5694939415538133,0.06949394155381328,high=>abstain,2.681159420289855,2.1639344262295084,0.5172249940603466
MuSiQue,multi_candidate_rate,130,69,61,0.5646234259919221,0.06462342599192206,high=>abstain,0.3719806763285024,0.27322404371584696,0.09875663261265544
MuSiQue,skipped_anchor_count,130,69,61,0.5626039439296745,0.0626039439296745,high=>abstain,0.34782608695652173,0.18032786885245902,0.1674982181040627
MuSiQue,dep_margin_min_diagnostic,130,69,61,0.4383464005702067,0.061653599429793315,high=>bind,0.5351070144927537,0.6498600163934426,-0.11475300190068893
MuSiQue,single_candidate_req_count,130,69,61,0.4414350201948206,0.058564979805179385,high=>bind,0.6956521739130435,0.8360655737704918,-0.14041339985744838
MuSiQue,bind_conf_single_candidate_rate,130,69,61,0.4426229508196721,0.05737704918032788,high=>bind,0.5289855072463768,0.6284153005464481,-0.09942979330007129
MuSiQue,single_candidate_rate,130,69,61,0.4426229508196721,0.05737704918032788,high=>bind,0.5289855072463768,0.6284153005464481,-0.09942979330007129
MuSiQue,empty_response_rate,130,69,61,0.4453551912568306,0.054644808743169404,high=>bind,0.49468599033816424,0.5407103825136612,-0.046024392175496975
MuSiQue,multi_candidate_req_count,130,69,61,0.5526253266809218,0.05262532668092179,high=>abstain,0.6231884057971014,0.4918032786885246,0.13138512710857686
MuSiQue,bind_conf_match_quality,130,69,61,0.46008553100498933,0.039914468995010666,high=>bind,0.4104637067566796,0.490546232616417,-0.08008252585973741
MuSiQue,empty_entity_responses,130,69,61,0.4603231171299596,0.0396768828700404,high=>bind,3.7246376811594204,3.918032786885246,-0.19339510572582563
MuSiQue,alias_match_rate,130,69,61,0.533856022808268,0.03385602280826805,high=>abstain,0.29726613965744403,0.2700819672131147,0.027184172444329302
MuSiQue,extraction_count,130,69,61,0.5279163696840105,0.027916369684010456,high=>abstain,8.333333333333334,7.950819672131147,0.38251366120218666
MuSiQue,dep_score_top1_mean_diagnostic,130,69,61,0.4765977666904253,0.023402233309574694,high=>bind,0.9559740314009662,0.948301456284153,0.007672575116813185
MuSiQue,requirement_count,130,69,61,0.5222143026847232,0.02221430268472324,high=>abstain,2.681159420289855,2.622950819672131,0.05820860061772404
MuSiQue,unmatched_rate,130,69,61,0.5162746495604656,0.016274649560465648,high=>abstain,0.5265693300156741,0.47531025351951633,0.05125907649615774
MuSiQue,max_dependency_depth,130,69,61,0.5127108576859112,0.012710857685911181,high=>abstain,1.463768115942029,1.4426229508196722,0.021145165122356868
MuSiQue,bind_conf_candidate_coverage,130,69,61,0.5020194820622476,0.0020194820622475573,high=>abstain,0.9009661835748792,0.9016393442622951,-0.0006731606874158524
MuSiQue,candidate_coverage,130,69,61,0.5020194820622476,0.0020194820622475573,high=>abstain,0.9009661835748792,0.9016393442622951,-0.0006731606874158524
MuSiQue,candidate_req_count,130,69,61,0.4983368971252079,0.0016631028747920995,high=>bind,1.318840579710145,1.3278688524590163,-0.009028272748871302
MuSiQue,dependent_req_count,130,69,61,0.5009503444998812,0.0009503444998811839,high=>abstain,1.536231884057971,1.540983606557377,-0.00475172249940603
