split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.32,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.32,MuSiQue,1000,0.339,0.4378931,0.7615,0.345,0.0020000000000000018,0.0020000000000000018,0.0003333333333332966,-0.007920399999999994,0.6323417333333333,0.0006666666666666673
all,bind_conf_composite_primary,0.33,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6330084,0.0013333333333333346
all,bind_conf_composite_primary,0.33,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6330084,0.0013333333333333346
all,bind_conf_composite_primary,0.33,MuSiQue,1000,0.341,0.4398931,0.762,0.349,0.0040000000000000036,0.0040000000000000036,0.0008333333333333526,-0.005920399999999992,0.6330084,0.0013333333333333346
all,bind_conf_composite_primary,0.34,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6333417333333333,0.001666666666666668
all,bind_conf_composite_primary,0.34,HotpotQA,1000,0.621,0.7483044,0.9625,0.344,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6333417333333333,0.001666666666666668
all,bind_conf_composite_primary,0.34,MuSiQue,1000,0.341,0.4398931,0.76225,0.353,0.0040000000000000036,0.0040000000000000036,0.001083333333333325,-0.005920399999999992,0.6333417333333333,0.001666666666666668
all,bind_conf_composite_primary,0.35,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6338417333333333,0.0021666666666666687
all,bind_conf_composite_primary,0.35,HotpotQA,1000,0.621,0.7483044,0.9625,0.344,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6338417333333333,0.0021666666666666687
all,bind_conf_composite_primary,0.35,MuSiQue,1000,0.342,0.4413931,0.7625833333333333,0.361,0.005500000000000005,0.0050000000000000044,0.0014166666666666217,-0.004420399999999991,0.6338417333333333,0.0021666666666666687
all,bind_conf_composite_primary,0.36,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.36,HotpotQA,1000,0.621,0.7483044,0.9625,0.344,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.36,MuSiQue,1000,0.342,0.4410979,0.7624166666666666,0.371,0.005204800000000009,0.0050000000000000044,0.0012499999999999734,-0.0047155999999999865,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.37,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.37,HotpotQA,1000,0.621,0.7483044,0.9625,0.344,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.37,MuSiQue,1000,0.342,0.4410979,0.7624166666666666,0.379,0.005204800000000009,0.0050000000000000044,0.0012499999999999734,-0.0047155999999999865,0.6337433333333333,0.0020682666666666702
all,bind_conf_composite_primary,0.38,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.63361,0.001934933333333333
all,bind_conf_composite_primary,0.38,HotpotQA,1000,0.621,0.7483044,0.9625,0.344,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.63361,0.001934933333333333
all,bind_conf_composite_primary,0.38,MuSiQue,1000,0.342,0.4406979,0.7615,0.387,0.004804799999999998,0.0050000000000000044,0.0003333333333332966,-0.005115599999999998,0.63361,0.001934933333333333
all,bind_conf_composite_primary,0.39,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6334322333333333,0.00175716666666668
all,bind_conf_composite_primary,0.39,HotpotQA,1000,0.621,0.7483044,0.9625,0.345,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6334322333333333,0.00175716666666668
all,bind_conf_composite_primary,0.39,MuSiQue,1000,0.341,0.4411646,0.7616666666666667,0.396,0.00527150000000004,0.0040000000000000036,0.000500000000000056,-0.004648899999999956,0.6334322333333333,0.00175716666666668
all,bind_conf_composite_primary,0.4,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.4,HotpotQA,1000,0.621,0.7483044,0.9625,0.346,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.4,MuSiQue,1000,0.341,0.4409646,0.7616666666666667,0.405,0.0050715000000000066,0.0040000000000000036,0.000500000000000056,-0.004848899999999989,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.41,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.41,HotpotQA,1000,0.621,0.7483044,0.9625,0.347,0.0010000000000000009,0.0010000000000000009,0.0,0.009566799999999986,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.41,MuSiQue,1000,0.341,0.4409646,0.76225,0.411,0.0050715000000000066,0.0040000000000000036,0.001083333333333325,-0.004848899999999989,0.6333655666666667,0.0016905000000000021
all,bind_conf_composite_primary,0.42,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6332848666666666,0.001609800000000013
