split,threshold,dataset,f1,em,title_recall,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,null_rate
test,0.83,MuSiQue,0.4536237221494102,0.3577981651376147,0.7707514198339886,0.017835517693315872,0.014416775884665833,0.013761467889908285,0.0036930537352555803,0.6238532110091743
test,0.84,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.84,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.84,MuSiQue,0.4549343381389253,0.35910878112712974,0.7719528178243774,0.019146133682830968,0.015727391874180874,0.01496286588029705,0.005003669724770676,0.6317169069462647
test,0.85,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.85,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.85,MuSiQue,0.4549343381389253,0.35910878112712974,0.7719528178243774,0.019146133682830968,0.015727391874180874,0.01496286588029705,0.005003669724770676,0.6317169069462647
test,0.86,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.86,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.86,MuSiQue,0.45624495412844035,0.36041939711664484,0.7716251638269986,0.02045674967234601,0.01703800786369597,0.014635211882918275,0.006314285714285717,0.63564875491481
test,0.87,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.87,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.87,MuSiQue,0.45624495412844035,0.36041939711664484,0.7716251638269986,0.02045674967234601,0.01703800786369597,0.014635211882918275,0.006314285714285717,0.63564875491481
test,0.88,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.88,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.88,MuSiQue,0.457181127129751,0.3617300131061599,0.7722804718217562,0.021392922673656667,0.01834862385321101,0.015290519877675823,0.007250458715596375,0.6382699868938401
test,0.89,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.89,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.89,MuSiQue,0.457181127129751,0.3617300131061599,0.7722804718217562,0.021392922673656667,0.01834862385321101,0.015290519877675823,0.007250458715596375,0.6382699868938401
